kode,kabupaten,tahun,persen_miskin,garis_kemiskinan,jumlah_miskin,tpt,nama_clean
3305,Kabupaten Kebumen,2016,19.86,313881,235.9,5.42,KEBUMEN
3306,Kabupaten Purworejo,2016,13.91,313931,99.1,4.19,PURWOREJO
3307,Kabupaten Wonosobo,2016,20.53,297422,160.1,4.68,WONOSOBO
3308,Kabupaten Magelang,2016,12.67,271800,158.9,4.63,MAGELANG
3309,Kabupaten Boyolali,2016,12.09,283921,117.0,4.42,BOYOLALI
3310,Kabupaten Klaten,2016,14.46,364240,168.0,4.92,KLATEN
3311,Kabupaten Sukoharjo,2016,9.07,327217,78.9,5.17,SUKOHARJO
3312,Kabupaten Wonogiri,2016,13.12,275507,124.8,3.35,WONOGIRI
3313,Kabupaten Karanganyar,2016,12.49,329531,107.7,4.83,KARANGANYAR
3314,Kabupaten Sragen,2016,14.38,283649,126.8,5.0,SRAGEN
3315,Kabupaten Grobogan,2016,13.57,333009,184.1,4.45,GROBOGAN
3316,Kabupaten Blora,2016,13.33,279972,113.9,4.54,BLORA
3317,Kabupaten Rembang,2016,18.54,338986,115.5,4.39,REMBANG
3318,Kabupaten Pati,2016,11.65,377442,144.2,6.08,PATI
3319,Kabupaten Kudus,2016,7.65,356951,64.2,5.1,KUDUS
3320,Kabupaten Jepara,2016,8.35,341754,100.3,4.51,JEPARA
3321,Kabupaten Demak,2016,14.1,356919,158.8,5.95,DEMAK
3322,Kabupaten Semarang,2016,7.99,307505,80.7,4.73,SEMARANG
3323,Kabupaten Temanggung,2016,11.6,268730,87.1,3.39,TEMANGGUNG
3324,Kabupaten Kendal,2016,11.37,323078,107.8,6.14,KENDAL
3325,Kabupaten Batang,2016,11.04,240541,82.6,6.28,BATANG
3326,Kabupaten Pekalongan,2016,12.9,341648,113.3,4.93,PEKALONGAN
3327,Kabupaten Pemalang,2016,17.58,319434,227.1,7.43,PEMALANG
3328,Kabupaten Tegal,2016,10.1,308270,144.2,8.56,TEGAL
3329,Kabupaten Brebes,2016,19.47,364059,348.0,8.7,BREBES
3371,Kota Magelang,2016,8.79,425191,10.6,8.2,KOTA MAGELANG
3372,Kota Surakarta,2016,10.88,430293,55.9,6.56,SURAKARTA
